procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 244740   2912 29393048    0    0  7388  9767  104  108  0  1 89 10  0
 1 13      0 233160   2904 29234664    0    0 96793 55309 23573 40214 11  5 51 33  0
 0 15      0 239628   2904 29179312    0    0 44580 29786 12014 20611  4  2 56 38  0
 0 15      0 210396   2904 29160556    0    0 44888 29681 14687 24817  4  2 33 61  0
 0 16      0 234472   2904 29092364    0    0 44624 29807 13051 20773  3  2 19 76  0
 1 15      0 226836   2908 29043780    0    0 45092 21517 12690 19608  2  2 22 74  0
 0 14      0 216456   2908 29006792    0    0 44688 30812 14970 25016  3  4 11 82  0
 0 14      0 226472   2908 28956784    0    0 43360 44178 13645 21943  3  2  7 89  0
 1 14      0 218976   2908 28913028    0    0 44880 26666 13410 22064  3  2 12 83  0
 0 16      0 229176   2908 28856384    0    0 43872 38000 14444 23719  2  3 22 73  0
 1 10      0 244804   2908 28793344    0    0 45632 17431 12425 19743  2  2 34 63  0
 0 12      0 299392   2908 28693568    0    0 44176 37913 14377 24016  2  2 11 84  0
 0 15      0 306728   2908 28642952    0    0 43984 42076 13999 23292  2  2 21 75  0
 1 13      0 307724   2908 28593592    0    0 45008 21749 14265 23804  2  3 18 77  0
 2 15      0 310148   2908 28544072    0    0 44320 33804 12326 19789  2  3 15 80  0
 0 15      0 310440   2908 28501132    0    0 44464 29862 13403 22162  3  4 12 82  0
 0 14      0 311600   2908 28451588    0    0 44224 34026 14915 25490  4  3  8 85  0
 1 15      0 310264   2908 28408656    0    0 45056 17611 12766 20442  4  3 16 76  0
 1 11      0 311652   2908 28359408    0    0 43936 38002 14714 24991  5  3 24 68  0
 2 13      0 310448   2908 28310796    0    0 44320 34033 13745 22794  4  3 17 75  0
 0 10      0 312292   2908 28268016    0    0 43680 42392 14248 24071  6  4  8 83  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 13      0 310032   2908 28219132    0    0 43584 34475 15131 25900  6  4 16 74  0
 0 12      0 307652   2908 28183144    0    0 43408 46482 17008 29898  6  3 16 74  0
 1 15      0 313296   2908 28134984    0    0 44064 38033 13734 22776  5  4  9 82  0
 3 10      0 308684   2908 28092720    0    0 43552 46417 15969 27616  6  4 10 81  0
 1 14      0 310688   2908 28043964    0    0 45040 21723 16414 29236  5  4 10 82  0
 0 13      0 308700   2916 28002120    0    0 40016 49223 13124 21583  5  3 21 71  0
 0 14      0 306476   2916 27960344    0    0 40560 44729 15563 27284  5  3 10 81  0
 0 14      0 311664   2916 27911924    0    0 41280 32368 12230 19851  3  2 20 74  0
 1 15      0 312960   2916 27864464    0    0 41184 36468 14602 24762  3  4 13 79  0
 3 11      0 310132   2916 27827940    0    0 40864 44699 15548 27505  3  3  7 87  0
 2  9      0 308040   2916 27786880    0    0 40896 44305 15290 26991  3  4 10 83  0
 1 13      0 311856   2916 27740032    0    0 41168 36348 16565 29264  4  3 12 80  0
 0 13      0 311556   2916 27697892    0    0 40752 44757 15696 27563  3  3 10 84  0
 1 15      0 310292   2916 27656388    0    0 40928 38935 15537 27394  3  3 11 84  0
 0 15      0 311204   2916 27614588    0    0 40736 45038 15504 27632  3  3 14 80  0
 1 15      0 308180   2916 27573760    0    0 40864 51732 14793 26134  4  3  6 87  0
 0 14      0 310784   2916 27525760    0    0 41296 43314 15850 27923  3  3 13 81  0
 0 15      0 311660   2916 27479052    0    0 41280 43267 14820 26073  3  2 10 84  0
 0 12      0 310492   2916 27437872    0    0 40976 47659 13972 23716  3  4 16 77  0
 1 15      0 306596   2916 27402480    0    0 40864 47784 15126 26130  2  4 14 80  0
 0 16      0 306768   2916 27355944    0    0 41120 42689 16761 30500  3  3 15 79  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15      0 311168   2916 27309080    0    0 41200 47626 13348 22377  3  2 14 81  0
 0 14      0 309768   2916 27262764    0    0 42176 24220 14222 24515  4  3 12 81  0
 0 15      0 306584   2916 27221728    0    0 41536 43280 15954 28283  5  4 13 78  0
 1 14      0 310612   2916 27181280    0    0 42608 22814 13693 23143  6  4 23 67  0
 0 14      0 310256   2916 27140640    0    0 40624 51524 14775 25490  6  4 19 72  0
 0 15      0 311816   2916 27099532    0    0 40720 51586 15365 26968  6  5 12 77  0
 0 14      0 308036   2916 27059088    0    0 41680 35416 15665 27859  5  4 11 80  0
 0 15      0 309844   2916 27007560    0    0 41280 43431 15995 28558  6  4 13 78  0
 0 13      0 310364   2916 26967084    0    0 42176 30759 16041 28423  6  4 12 78  0
 4 13      0 309608   2916 26926520    0    0 41056 47073 15087 26144  5  4 18 73  0
 1 12      0 309756   2916 26880852    0    0 41504 42941 14949 26340  5  3 12 79  0
 0 12      0 309148   2916 26840800    0    0 41120 43088 15718 27741  6  4 11 79  0
 0 11      0 309204   2916 26795100    0    0 40848 51269 15905 28549  5  4 10 81  0
 0 15      0 308816   2916 26749888    0    0 40864 51250 15498 27281  5  3 15 77  0
 0 16      0 304948   2924 26715420    0    0 39328 39982 15108 26636  5  3 18 74  0
 0 10      0 310912   2924 26664268    0    0 39792 43081 14405 25131  4  3 18 74  0
 1 15      0 309400   2924 26624296    0    0 38416 48535 14527 25531  3  3 13 81  0
 0 16      0 309616   2924 26590544    0    0 38752 45498 13037 22190  4  3 12 80  0
 0 10      0 309420   2924 26550876    0    0 38496 50175 16981 31337  4  3 11 82  0
