procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 307396   3092 30111480    0    0  2736  3014   27    6 14  4 60 22  0
 1 13      0 315336   3092 29919240    0    0 110957 82233 26868 45177 13  8 40 39  0
 0 16      0 315560   3092 29860980    0    0 53312 39315 14645 26098  4  5 41 50  0
 1 12      0 317624   3092 29802700    0    0 52816 39541 16983 28855  5  5 20 71  0
 1 14      0 312408   3092 29743828    0    0 52848 50458 16838 28673  5  4 16 75  0
 1 14      0 311896   3092 29687236    0    0 53984 29981 16258 27199  4  4 14 77  0
 0 16      0 312180   3092 29629600    0    0 53040 42279 16449 27063  4  4 22 70  0
 1 15      0 314324   3092 29571940    0    0 53024 42335 16009 26668  5  4 11 80  0
 1 13      0 314504   3092 29514332    0    0 53008 38499 16038 27649  4  4 12 80  0
 1 15      0 311160   3092 29463900    0    0 50704 50405 17811 31463  5  4 13 78  0
 0 14      0 314400   3100 29406924    0    0 50784 51058 17307 29656  4  5 11 79  0
 0 15      0 316072   3100 29349380    0    0 52384 28321 19983 36512  6  5 17 72  0
 0 14      0 305944   3100 29305232    0    0 51184 52541 15845 27453  4  4 18 74  0
 1 14      0 308424   3100 29247516    0    0 52944 25659 15109 25228  4  4 18 74  0
 0 14      0 310732   3100 29191524    0    0 51568 45657 15601 26413  5  4 22 69  0
 0 13      0 312696   3100 29135264    0    0 51600 43095 18266 32425  4  4 15 76  0
 0 14      0 311900   3100 29084884    0    0 51376 50249 16999 29657  5  4 25 67  0
 2 14      0 311764   3100 29034936    0    0 51072 52211 15834 27219  5  4 14 76  0
 0 13      0 316060   3100 28978408    0    0 51216 49236 14750 24666  3  4 19 73  0
 0 14      0 311580   3100 28928920    0    0 52352 36503 15916 27619  5  4 23 69  0
 1 11      0 313008   3100 28873584    0    0 51360 49067 19360 34856  5  5 17 73  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 11      0 314332   3100 28817564    0    0 51392 50250 17918 31397  5  4 15 75  0
 0 14      0 310004   3100 28767864    0    0 50832 56185 18931 34304  5  5 19 71  0
 0 11      0 316084   3372 28706956    0    0 51484 52200 15689 26738  5  4 20 71  0
 1 13      0 311148   3372 28657872    0    0 51388 54179 18275 32453  5  4 18 73  0
 0 15      0 311760   3372 28602328    0    0 51568 44976 16921 29707  5  4 14 76  0
 3 13      0 307692   3372 28553384    0    0 49872 73375 20718 38242  6  5 12 78  0
 0 12      0 314176   3372 28492228    0    0 52192 36465 16700 28853  5  4 14 77  0
 1 14      0 315192   3372 28437920    0    0 50704 65088 17098 30262  4  4 22 70  0
 0 14      0 308468   3372 28389612    0    0 52048 42465 21661 40374  7  5 19 69  0
 2 14      0 315288   3372 28328872    0    0 50944 58851 18218 32113  6  5 16 74  0
 0 15      0 315900   3372 28274572    0    0 51664 48263 21026 38455  6  6 21 67  0
 0 15      0 315900   3372 28220200    0    0 52240 39976 18607 33419  6  4 20 70  0
 1 15      0 315660   3372 28166140    0    0 51760 44313 16697 28950  5  4 16 75  0
 2 15      0 310252   3380 28118436    0    0 51352 52099 19508 35644  7  4 19 71  0
 1 15      0 315460   3380 28058044    0    0 51888 48097 18911 34432  5  5 15 74  0
 0 13      0 311532   3380 28010452    0    0 52512 43689 19740 36552  6  4 13 77  0
 1 14      0 313324   3380 27955940    0    0 52960 31479 17526 31576  5  4 15 76  0
 1 15      0 315140   3380 27902372    0    0 52368 39854 20651 37655  5  5 18 72  0
 1 14      0 311584   3380 27854588    0    0 48592 47524 16252 28321  4  4 20 71  0
 3 11      0 313844   3388 27801412    0    0 48096 47688 18682 33819  6  4 15 76  0
 1 15      0 312396   3388 27753324    0    0 47344 64222 18435 33509  6  4 19 71  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15      0 308396   3388 27707456    0    0 47968 55442 18915 35199  5  4 17 74  0
 0 14      0 316104   3388 27648048    0    0 48576 50768 18131 32894  5  5 16 74  0
 1 12      0 312972   3388 27600524    0    0 47888 55374 18009 32800  5  4 12 78  0
 1 12      0 314856   3388 27547456    0    0 48512 56433 16992 30269  5  5 14 76  0
 1 13      0 309708   3388 27501552    0    0 49888 33821 21000 39331  5  5 22 67  0
 0 13      0 310736   3388 27448796    0    0 48400 58255 18406 33500  5  4 21 70  0
 1 11      0 312016   3388 27396280    0    0 48960 54727 20195 37566  6  5 18 71  0
 1  9      0 312700   3388 27343580    0    0 48864 55775 18781 34563  6  5 16 73  0
 1 13      0 312780   3388 27291516    0    0 48752 55057 18595 33646  6  5 16 73  0
 1 15      0 313708   3388 27238892    0    0 48688 57209 15964 27950  5  4 13 78  0
 1 13      0 313768   3388 27187012    0    0 49488 46719 18660 33386  5  5 12 77  0
 1 12      0 314020   3388 27135748    0    0 48224 65802 20631 38661  6  5 17 73  0
 0 14      0 313388   3388 27084096    0    0 48704 61559 18697 34375  6  4 13 77  0
 1 13      0 311956   3388 27032280    0    0 49280 50530 17408 31336  5  3 15 76  0
 0 12      0 311584   3388 26980720    0    0 50240 35993 18542 33494  5  5 13 77  0
 0 15      0 312112   3388 26929528    0    0 49264 51272 18325 33383  5  4 13 78  0
 3 13      0 313988   3388 26878608    0    0 49600 46981 21862 41698  6  5 13 77  0
 1 15      0 311756   3388 26827512    0    0 49872 44371 21138 40029  6  5 13 76  0
 1 12      0 315884   3388 26769888    0    0 49824 47884 19001 35049  6  4 11 79  0
 2 11      0 313652   3388 26719576    0    0 49616 48348 19806 36356  6  4 13 78  0
 1 15      0 312992   3388 26662444    0    0 50864 31721 21192 39808  7  4 17 72  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 13      0 313264   3388 26612872    0    0 50336 32482 21571 40220  7  6 13 75  0
 0 16      0 312132   3388 26556308    0    0 51968 15415 20855 39220  6  4 18 72  0
 1 15      0 312884   3388 26501744    0    0 52208 11251 19355 35597  6  5 14 76  0
 1 13      0 309176   3388 26456632    0    0 52656  6857 20381 37627  7  4 14 76  0
 0 14      0 316916   3388 26383716    0    0 52320 10996 19644 36294  6  4 18 73  0
 1 12      0 312836   3388 26339592    0    0 52464  7123 19888 36867  7  5 11 78  0
 1 14      0 312160   3388 26284184    0    0 49680 12444 19719 37121  7  4 15 74  0
 0 10      0 312220   3388 26239676    0    0 49488 16382 20235 37693  7  4 16 73  0
 2 15      0 313036   3396 26184972    0    0 49632 16241 22215 42140  6  4 17 73  0
 1 13      0 304276   3396 26139904    0    0 50000 12053 19387 35928  6  4 16 74  0
 0 15      0 308700   3396 26080240    0    0 49632 16168 22617 43290  7  4 13 76  0
 1 14      0 313580   3396 26025380    0    0 49264 16597 22396 43052  8  4 18 71  0
 1 12      0 312788   3396 25976676    0    0 49440 12812 25482 49188  7  5 15 73  0
 1 10      0 314596   3396 25922332    0    0 48992 21398 21168 40519  6  4 13 77  0
 0 15      0 310512   3396 25878536    0    0 49152 13134 23125 45338  7  4 18 71  0
 1 12      0 313932   3396 25824200    0    0 48464 18133 21237 40654  6  5 12 77  0
 2 13      0 311184   3396 25776164    0    0 48368 23473 21874 42094  7  5 11 77  0
 0 15      0 313192   3396 25721088    0    0 49152 13831 22792 43656  7  4 18 71  0
 0 11      0 313400   3396 25672844    0    0 48368 21980 24068 46217  7  5 18 70  0
 0 12      0 311696   3396 25624056    0    0 48912 18051 19817 37165  6  4 19 71  0
 1 15      0 310848   3396 25570132    0    0 49312 13587 18245 34092  5  4 15 76  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14      0 311268   3396 25521868    0    0 48512 22002 19902 37582  5  4 20 71  0
 2 12      0 307960   3396 25473476    0    0 48592 18204 25094 47488  6  5 16 73  0
 0 11      0 311724   3396 25414948    0    0 48272 26192 21822 41277  6  4 17 73  0
 7 11      0 309632   3396 25366992    0    0 48864 13906 19921 37611  6  4 14 76  0
 0 13      0 312008   3396 25313920    0    0 48352 18423 23890 46603  8  5 14 74  0
 2 14      0 310576   3396 25261804    0    0 48992 13779 23200 45175  8  4 14 74  0
 2 12      0 309360   3396 25213492    0    0 48672 17831 21268 40836  6  3 17 73  0
 0 13      0 309900   3396 25161156    0    0 49056 13767 20212 38031  7  4 18 71  0
 0 14      0 315780   3396 25097852    0    0 48528 17969 19599 36804  6  3 14 77  0
 1 10      0 315116   3396 25050564    0    0 48496 14071 22312 42508  7  4 22 67  0
 1 10      0 308900   3396 25003020    0    0 48272 18394 21151 39710  7  3 15 75  0
 2 13      0 312036   3396 24946012    0    0 48112 22491 23894 46812  7  5 12 76  0
 0 14      0 312416   3396 24899200    0    0 48080 22662 28850 57106  8  6 14 72  0
 2 11      0 312068   3396 24847728    0    0 48096 18553 21670 41649  7  5 13 75  0
 2 13      0 311512   3396 24801772    0    0 48704 14368 22241 42574  7  5 13 75  0
 2 12      0 309728   3396 24755700    0    0 47888 15564 22055 42179  6  4 16 73  0
 1 12      0 315984   3396 24693680    0    0 47952 15620 22193 42713  7  5 16 72  0
 1 15      0 313768   3404 24647864    0    0 47744 19720 20908 39842  7  4 15 74  0
 2 13      0 312396   3404 24595916    0    0 47680 19517 24688 48615  8  5 18 69  0
 1 15      0 312720   3404 24544780    0    0 47872 19676 23780 44313  7  4 19 69  0
 2  8      0 309404   3404 24497764    0    0 47920 15756 24342 46907  8  4 15 73  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 15      0 312428   3404 24447844    0    0 47936 15650 23573 45147  7  5 15 74  0
 0 14      0 314984   3404 24393012    0    0 47744 23622 18976 35603  6  3 15 75  0
 0  6      0 312472   3404 24341884    0    0 47424 15472 21199 40498  7  4 13 76  0
 0 11      0 312968   3404 24290932    0    0 48704 15684 24330 47354  8  4 20 68  0
 3 11      0 312172   3404 24241672    0    0 47456 24920 24496 47771  7  4 17 71  0
 3  9      0 312760   3404 24191748    0    0 47360 23822 20836 39102  6  4 16 74  0
 0 15      0 313972   3404 24136884    0    0 47680 19895 26993 52993  8  5 17 69  0
 2 11      0 311736   3404 24091768    0    0 47616 19765 24280 46819  7  5 17 71  0
 2 14      0 312332   3404 24041524    0    0 48048 15604 21787 41512  7  4 18 70  0
 3 11      0 308644   3404 23996300    0    0 47360 23926 24103 46657  7  5 19 69  0
 3  9      0 313560   3404 23937728    0    0 47808 15713 27692 55341  8  5 15 72  0
 1 12      0 313088   3404 23883416    0    0 47296 24063 25827 50500  9  5 15 71  0
 1 13      0 310572   3404 23840272    0    0 47632 19960 25393 50087  9  5 16 71  0
 2 14      0 312096   3404 23785820    0    0 47840 16008 26717 53124  9  5 17 69  0
 1 13      0 311480   3404 23741428    0    0 46656 36259 24636 48607  6  4 14 75  0
 0 13      0 313560   3404 23683216    0    0 47552 24104 24403 48241  7  4 19 69  0
 1 14      0 309316   3404 23639380    0    0 47552 19895 24757 47755  8  4 15 73  0
 1  8      0 312304   3404 23585964    0    0 47552 19978 26198 51836  7  5 19 68  0
 2 10      0 314012   3404 23533244    0    0 47504 15882 26899 51597  9  6 15 71  0
 2 14      0 312756   3404 23484592    0    0 47744 18617 25509 50519  9  5 14 72  0
 1 11      0 312756   3404 23431084    0    0 47680 16827 23212 45353  8  4 13 75  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 13      0 313136   3404 23378132    0    0 47808 15910 25402 50171  9  5 14 73  0
 2  9      0 313396   3404 23330144    0    0 46992 28083 26048 50757  8  5 20 67  0
 4 11      0 313668   3404 23277760    0    0 47296 23942 22807 44158  8  6 14 73  0
 0 14      0 311968   3404 23228840    0    0 46704 28876 23678 44584  7  5 16 72  0
 0 11      0 313936   3404 23177100    0    0 46352 28276 23498 46614  7  5 12 76  0
 4 12      0 312252   3404 23129484    0    0 47088 21063 25645 50444  9  5 14 72  0
 0 11      0 312192   3412 23077816    0    0 46704 25056 25486 50701  8  4 18 70  0
 1 10      0 313928   3412 23025372    0    0 47184 20971 24798 47770  7  4 18 70  0
 5 10      0 310168   3412 22978588    0    0 47104 17143 28789 57152 10  4 13 72  0
 0 11      0 314188   3412 22923576    0    0 47168 16938 27769 55683  9  5 14 72  0
 0 11      0 309000   3412 22880268    0    0 46400 29073 25283 50601 10  4 17 69  0
 1 13      0 310616   3412 22830140    0    0 47152 16990 26016 50332  8  4 13 74  0
 0 13      0 309316   3412 22783708    0    0 46960 20873 24866 49162  8  6 17 70  0
 1 12      0 319280   3412 22717456    0    0 47168 20848 26566 51887  7  5 17 71  0
 2 13      0 309268   3412 22685060    0    0 46784 24853 23345 45594  8  4 13 75  0
 3  8      0 310968   3412 22630828    0    0 47200 16827 24729 48528  8  5 15 73  0
 0 15      0 311668   3412 22584196    0    0 47584 16802 25165 49622  8  5 15 72  0
 2 12      0 314044   3412 22528524    0    0 47232 16927 28080 56225  9  5 13 72  0
 1  8      0 312356   3412 22482628    0    0 47232 16896 28523 57015 10  5 15 71  0
 0 10      0 310728   3412 22428588    0    0 46880 21003 25924 51392  8  5 16 71  0
 0 13      0 311832   3412 22383160    0    0 46992 21150 23362 46429  7  5 11 77  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 11      0 313148   3412 22328648    0    0 46752 25130 26325 51412  9  6 16 69  0
 2 14      0 313448   3412 22274128    0    0 47328 20163 27833 55592  9  5 16 69  0
