procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 31591960   3012 118664    0    0  2929  3033   21   34 16  5 56 23  0
 1 15      0 31303544   3012 129336    0    0 265884  2002 37251 86493 24  7 29 39  0
 0 12      0 31243156   3012 129700    0    0 32136  1236 27126 54069 11  4 50 36  0
 1 15      0 31191260   3012 130428    0    0 26812  1193 30509 62960 13  4 41 42  0
 0 12      0 31142652   3012 131920    0    0 25172  1252 32032 67615 13  4 40 43  0
 3 10      0 31095532   3012 133248    0    0 24724  1315 28141 59833 13  4 38 45  0
 3 10      0 31048348   3012 134628    0    0 23656  1335 33067 70712 15  4 27 53  0
 0 12      0 31002840   3012 135876    0    0 23092  1442 31360 65474 14  4 27 55  0
 2  9      0 30955408   3012 137256    0    0 22808  1991 32463 67848 14  4 32 50  0
 2 12      0 30911016   3012 138292    0    0 22596  1387 31024 65027 12  4 27 57  0
 3 12      0 30865072   3020 140160    0    0 22244  1518 35331 75283 13  4 32 51  0
 0 11      0 30819812   3020 141164    0    0 21804  1483 37643 81032 15  4 27 55  0
 4 13      0 30772752   3020 143128    0    0 21924  1447 33768 73893 14  3 29 54  0
 1 12      0 30728856   3020 144560    0    0 21452  8905 33499 71527 14  5 31 50  0
 2 14      0 30682416   3020 146016    0    0 21760  1555 35410 76903 14  5 30 51  0
 2 13      0 30638644   3020 147692    0    0 21596  1514 38229 84361 16  4 33 48  0
 1 10      0 30591708   3020 149712    0    0 21552  1539 37150 80377 17  4 34 45  0
 4  9      0 30546448   3020 150784    0    0 21664  1528 37212 81517 17  4 31 47  0
13  7      0 30500132   3020 152908    0    0 21424  1563 35055 75876 17  4 33 46  0
 2 12      0 30456360   3020 154504    0    0 21048  1593 38786 84187 19  5 28 49  0
 2  9      0 30409300   3020 156556    0    0 20900  1573 41914 91161 18  7 30 45  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 12      0 30365900   3020 157400    0    0 21788  1551 35667 77226 16  5 31 48  0
 1 10      0 30319212   3020 158996    0    0 21232  1520 35347 76555 16  5 29 49  0
 2 10      0 30274572   3020 160768    0    0 21408  1581 38390 83700 16  4 28 51  0
 4 13      0 30227388   3020 163100    0    0 21228  1594 38235 83889 15  4 30 51  0
 1  9      0 30183492   3020 163904    0    0 21256  1623 35286 77286 14  4 36 47  0
 8  8      0 30131436   3020 165940    0    0 20940  1603 37772 83086 15  3 27 54  0
 2  8      0 30087816   3020 167520    0    0 21000  1625 32855 71759 14  5 34 48  0
 6  9      0 30041128   3020 168996    0    0 21320  1566 39366 85927 16  5 29 50  0
 1  9      0 29996364   3020 171164    0    0 21372  1599 38434 84064 18  4 28 51  0
 2 15      0 29950544   3020 172804    0    0 21140  1624 38340 84486 17  4 31 49  0
