procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 31588612   2804 119876    0    0  2988  3741    6   19 15  5 56 24  0
 1 14      0 31279228   2804 130860    0    0 258808  2558 52215 109821 26 10 27 37  0
 0 15      0 31201036   2804 132216    0    0 35068  1488 36465 76710 14  3 33 49  0
 2 14      0 31140772   2804 133668    0    0 31052  1562 36024 76991 14  4 33 49  0
 1  9      0 31082428   2804 135196    0    0 29348  1630 37177 80518 15  4 32 49  0
 1 11      0 31026876   2804 136824    0    0 28476  1643 41631 89709 17  4 28 51  0
 1 15      0 30970764   2804 138480    0    0 27536  1641 34839 74044 15  4 29 52  0
 0 14      0 30917568   2804 140168    0    0 26964  1723 42268 91348 17  5 25 53  0
 3 12      0 30862324   2804 141932    0    0 26604  1759 43038 92893 17  5 22 55  0
 1 11      0 30808012   2804 143732    0    0 26512  1760 38136 81876 15  4 23 57  0
 2 12      0 30752272   2804 145576    0    0 26276  1772 38101 82172 16  5 23 56  0
 1 12      0 30699076   2804 147396    0    0 26308  1796 41877 90582 16  6 23 55  0
 3 12      0 30643212   2804 149260    0    0 25936  1777 43704 94930 18  5 23 55  0
 3 11      0 30588960   2804 151116    0    0 26036  1788 42800 92936 17  6 24 53  0
 3 11      0 30535888   2848 152956    0    0 25752  1846 41172 89206 17  4 27 52  0
 3  7      0 30479652   2848 154856    0    0 25332  1847 47653 105804 20  5 21 53  0
 1 11      0 30426828   2848 156808    0    0 25652  1863 46163 102019 19  5 22 54  0
 3  9      0 30371584   2848 158760    0    0 25620  1877 40841 88794 18  5 24 53  0
 2 10      0 30315720   2848 160716    0    0 25508  1874 44111 96564 18  5 24 53  0
 1 11      0 30263144   2848 162632    0    0 25656  1894 46594 102328 20  5 25 50  0
 1 11      0 30206908   2848 164612    0    0 25396  2469 47692 105309 21  5 24 50  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 10      0 30152596   2852 166560    0    0 25376  1962 46583 102713 21  5 22 52  0
 1  9      0 30098592   2856 168600    0    0 25156  1988 44347 97836 19  6 27 49  0
 0 10      0 30043472   2856 170692    0    0 25500  1959 46968 104044 20  6 23 51  0
 3  9      0 29990028   2856 172716    0    0 25512  2021 45816 101178 20  5 23 52  0
 0 16      0 29940920   2856 174600    0    0 22116 21901 41916 92605 18  5 21 56  0
 4  7      0 29888528   2856 176504    0    0 24236  2379 44294 98893 19  6 18 57  0
 2  4      0 29835208   2856 178576    0    0 25568  1932 44661 99197 20  5 25 50  0
 3 11      0 29779716   2856 180644    0    0 25416  1998 47648 104980 21  6 26 47  0
 1 13      0 29724472   2856 182744    0    0 25184  1982 50117 111155 22  6 24 48  0
 3 12      0 29671524   2856 184876    0    0 25356  2008 47657 106510 22  5 23 50  0
 3  9      0 29615660   2856 186992    0    0 25256  1994 45294 100694 20  6 23 51  0
 2  9      0 29560788   2856 189152    0    0 24836  2060 49315 110115 22  6 25 48  0
 3 10      0 29508584   2856 191268    0    0 25448  2013 49036 109569 21  7 26 46  0
 5  9      0 29453092   2856 193432    0    0 25392  1977 48242 107342 21  5 22 51  0
 2  5      0 29397848   2856 195484    0    0 25388  1950 48831 108664 20  6 22 51  0
 2  9      0 29345396   2856 197576    0    0 25092  1990 49465 109620 21  6 24 49  0
 0 12      0 29289532   2856 199744    0    0 25384  2008 49663 110493 22  6 22 50  0
 2 14      0 29235156   2856 201892    0    0 25232  2003 42455 94097 19  5 22 54  0
 1  8      0 29182084   2856 204100    0    0 24968  2107 47331 105107 22  5 22 50  0
 6  9      0 29126468   2856 206232    0    0 25300  1983 43203 95408 19  5 23 52  0
 3  9      0 29071844   2856 208324    0    0 24740  2049 49897 110432 22  6 23 49  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  8      0 29018524   2856 210492    0    0 24976  1995 45968 102180 19  6 27 49  0
 2 14      0 28962660   2856 212740    0    0 25064  2059 49254 110044 22  6 23 48  0
 4  9      0 28908036   2856 214908    0    0 24700  2065 51972 116727 23  6 22 48  0
 1 10      0 28855708   2856 217176    0    0 24708  2085 52568 117845 23  7 19 51  0
 5  8      0 28801084   2856 219416    0    0 25220  2075 49549 110768 23  6 25 46  0
 1  8      0 28739508   2856 221720    0    0 25004  2089 49605 111338 22  6 23 49  0
 2 10      0 28684760   2856 223972    0    0 24872  2107 50743 112939 22  5 25 48  0
 5  8      0 28633548   2856 226316    0    0 24544  2197 49475 111344 23  5 23 49  0
 4 11      0 28578304   2856 228524    0    0 25224  2075 49295 111458 22  7 25 46  0
 2 11      0 28522812   2856 230724    0    0 25136  2046 46680 104078 22  5 25 48  0
 5 10      0 28470360   2864 232988    0    0 24856  2139 50194 112492 23  5 22 49  0
 6  8      0 28415240   2864 235168    0    0 24776  2056 51069 113806 22  6 23 49  0
 3  9      0 28360120   2864 237328    0    0 24924  2062 46468 103640 21  6 23 50  0
 3 10      0 28307172   2864 239548    0    0 23884 30217 48049 107292 21  7 23 50  0
 3 13      0 28255216   2864 241896    0    0 24344  2152 52995 119547 24  6 20 50  0
 5  6      0 28196864   2864 244176    0    0 24584  2134 50115 112570 22  6 23 49  0
 3  9      0 28140752   2864 246464    0    0 24804  2119 49883 112113 22  6 25 47  0
 1  9      0 28088424   2864 248740    0    0 24688  2112 50123 112603 22  6 22 50  0
 1  9      0 28033180   2864 251124    0    0 24332  2156 51021 113681 22  6 22 49  0
 1 11      0 27978680   2864 253328    0    0 24884  2041 51698 116318 22  7 23 49  0
 2  8      0 27923932   2864 255668    0    0 24456  2205 50690 113923 23  7 23 47  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  8      0 27870860   2864 258044    0    0 24992  2162 49589 110374 24  5 20 51  0
 2 11      0 27817104   2864 260380    0    0 24472 11128 47121 105814 22  5 23 49  0
 3 12      0 27762232   2864 262740    0    0 24708  2196 49902 112047 24  6 19 52  0
 3  9      0 27707980   2864 265104    0    0 24588  2182 51654 115490 24  6 22 48  0
 4 12      0 27654772   2864 267520    0    0 24356  2198 51408 116426 24  6 21 49  0
 1 11      0 27599528   2864 269896    0    0 24704  2222 57141 130118 26  7 20 47  0
 1 10      0 27544904   2864 272220    0    0 24424  2163 54700 123093 24  7 23 46  0
 1 10      0 27490280   2864 274624    0    0 24160  2250 52953 118774 24  6 23 47  0
 0  9      0 27437580   2864 277028    0    0 24708  2179 51356 114759 24  6 26 44  0
 6  4      0 27383204   2864 279432    0    0 24192  2229 51812 116726 23  6 21 50  0
 4  9      0 27328208   2864 281824    0    0 24624  2175 51596 115428 24  5 23 48  0
 8  8      0 27273088   2864 284296    0    0 24436  2249 49666 111573 22  6 23 49  0
 2  9      0 27220016   2864 286696    0    0 24640  2125 50982 114026 24  6 22 48  0
 2  7      0 27164400   2864 289188    0    0 24336  2242 57829 130391 25  7 20 48  0
 3 11      0 27109264   2864 291608    0    0 24736  2193 51264 114996 24  6 23 46  0
 3 11      0 27055384   2864 294024    0    0 24196  2266 51058 115613 24  5 23 48  0
 5  6      0 27002560   2864 296496    0    0 24456  2186 52863 119470 24  6 22 48  0
 2  1      0 26948432   2864 299008    0    0 23820  2283 53863 121578 25  7 22 46  0
