procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 31589508   2960 118368    0    0  3041  3335    7   39 15  5 59 22  0
 1 14      0 31396956   2960 129276    0    0 184012  2562 43068 100320 24  7 30 39  0
 2 14      0 31377796   2960 130864    0    0 21116  1574 40549 87525 14  4 37 45  0
 5  6      0 31352624   2960 132500    0    0 20916  1559 37719 82276 14  3 43 40  0
 0 13      0 31315980   2960 134220    0    0 20876  1656 39719 87011 14  4 41 41  0
 2 11      0 31271960   2960 136016    0    0 20756  1659 44098 96839 16  4 35 45  0
 2 10      0 31225892   2960 137864    0    0 20380  1763 45968 101181 16  5 34 44  0
 2 14      0 31178956   2960 139676    0    0 20596  1767 42063 92279 16  5 33 46  0
 3  9      0 31134936   2960 141664    0    0 20432  2386 42478 93681 17  5 35 43  0
 1  9      0 31089364   2960 143740    0    0 20344  1878 42817 94712 17  4 33 46  0
 5  8      0 31044848   2972 145848    0    0 20108  1977 51866 114341 20  5 25 50  0
 2 11      0 30998036   2972 147952    0    0 20124  1869 49182 108713 19  5 31 45  0
 1  9      0 30943892   2972 150032    0    0 20104  1949 49705 109798 20  7 30 44  0
 3 10      0 30898940   2972 152212    0    0 19640 12528 48051 105890 20  5 28 48  0
 1 12      0 30855292   2972 154444    0    0 19928  1964 49708 110047 20  6 28 47  0
 6  8      0 30808852   2972 156688    0    0 19860  1988 49612 110319 20  5 29 46  0
 3  9      0 30763280   2972 158980    0    0 19944  2012 50869 111872 20  6 27 47  0
 2  9      0 30719384   2972 161248    0    0 19812  2008 52058 115701 22  5 27 46  0
 2  7      0 30673068   2972 163556    0    0 19804  2059 53846 119589 23  6 25 46  0
 3  8      0 30627124   2972 165860    0    0 19856  2037 50812 112344 22  5 28 45  0
 1 10      0 30581056   2972 168224    0    0 19684  2067 53762 119330 24  5 23 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 30537904   2972 170608    0    0 19376  2074 49023 109498 21  6 28 45  0
 2  9      0 30491892   2972 173016    0    0 19640  2279 54487 123805 24  7 29 40  0
 6 11      0 30447996   2972 175492    0    0 19180  2262 54434 121552 25  7 22 46  0
 5  9      0 30399944   2972 177980    0    0 19492  2161 55484 124541 26  7 21 46  0
 2  7      0 30355924   2972 180492    0    0 19632  2217 53832 120232 25  7 24 45  0
 1  9      0 30310848   2972 183144    0    0 19236  2307 58008 130149 26  8 23 43  0
 2 11      0 30265028   2972 185748    0    0 19304  2301 59091 133156 28  7 23 42  0
 2  9      0 30219952   2972 188376    0    0 19340  2284 58279 130520 27  8 21 44  0
 3  7      0 30174628   2972 190928    0    0 19224  2294 56457 127067 27  6 21 46  0
 2 10      0 30128436   2972 193708    0    0 19104  2372 56127 125999 26  8 23 43  0
 1 12      0 30083360   2972 196516    0    0 19324  2389 57609 128895 27  8 20 46  0
 2  7      0 30037712   2972 199232    0    0 19264  2348 58765 132055 26 10 19 45  0
 2 13      0 29993628   2972 201944    0    0 19268  2353 58257 131537 27  8 22 44  0
 3  9      0 29948428   2972 204648    0    0 19152  2361 61594 138469 28  8 24 40  0
 4  5      0 29903352   2972 207468    0    0 19068  2404 63293 143806 30  9 20 41  0
 3  9      0 29856788   2972 210316    0    0 19072  2476 63686 144257 30  8 19 42  0
 3  8      0 29810844   2972 213232    0    0 18988  2577 63747 144695 31  9 20 39  0
 3  9      0 29766512   2972 216128    0    0 19084  2487 58252 131422 28  9 21 42  0
 1 10      0 29720816   2972 219036    0    0 19252  2425 58359 132190 27  8 22 42  0
 3  6      0 29675864   2980 221968    0    0 18852  2622 67677 154799 32  9 19 40  0
 1 11      0 29630416   2980 224908    0    0 18996  2586 65291 148155 31  9 20 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
