procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 31587816   2836 120300    0    0  3038  3094   12    2 26  7 45 22  0
 0 11      0 31272484   2836 131224    0    0 271440  2483 43822 104077 27  7 26 39  0
 1 13      0 31204904   2836 131772    0    0 35884  1493 33390 68415 13  4 36 47  0
 2 13      0 31143708   2836 133536    0    0 30876  2146 37853 80371 17  4 31 48  0
 2 11      0 31086792   2836 135412    0    0 29776  1584 35776 77492 15  5 33 48  0
 0 14      0 31030308   2836 137428    0    0 28152  1636 36048 78050 16  4 33 47  0
 2 15      0 30975128   2836 138592    0    0 27752  1664 39287 85676 17  5 32 46  0
 2 13      0 30920256   2836 140276    0    0 27480  1718 40160 87704 17  5 31 47  0
 1 11      0 30866316   2836 141980    0    0 26680  1740 39370 85385 18  5 27 50  0
 0 13      0 30810700   2836 143784    0    0 26252  1778 39483 85691 17  5 27 51  0
 3 10      0 30756636   2836 145548    0    0 26468  1802 40307 87422 17  5 31 46  0
 1 12      0 30699092   2836 147436    0    0 26256  1796 40412 88155 18  5 29 48  0
 1 10      0 30643848   2836 149288    0    0 25812  1782 41277 89916 17  6 30 47  0
 2 12      0 30589784   2836 151100    0    0 25532  1836 42396 92083 18  5 27 50  0
 2 11      0 30535408   2836 153036    0    0 25460  1821 44446 96918 19  5 25 51  0
 7 11      0 30481964   2836 154972    0    0 25984  1837 40726 89597 20  4 25 51  0
 7  4      0 30426844   2836 156736    0    0 25828  1900 42746 93989 18  5 27 49  0
 4  8      0 30371228   2836 158816    0    0 25524  1830 45452 99353 22  5 25 48  0
 2 12      0 30317784   2836 160652    0    0 25768  1928 43428 94488 20  6 25 49  0
 6  9      0 30262168   2836 162612    0    0 25132  1830 44014 95969 20  4 28 48  0
 1 10      0 30209344   2836 164584    0    0 25160  1928 46377 102442 21  5 26 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 10      0 30152412   2836 166996    0    0 25692  1894 47041 102778 21  6 27 46  0
 2 12      0 30097664   2836 168596    0    0 25628  1830 41079 90507 18  4 28 49  0
 3 10      0 30044964   2836 170928    0    0 25716  1931 39911 87456 19  4 31 46  0
 4  7      0 29990216   2836 172540    0    0 25392  1917 46020 101101 21  5 26 48  0
 3 11      0 29933980   2836 174436    0    0 25612  2429 42199 92571 19  5 30 46  0
 1 12      0 29881528   2836 176572    0    0 25332  2011 50121 111424 23  6 23 48  0
 3 12      0 29827588   2888 178612    0    0 25000  2031 47575 105288 22  6 24 48  0
 0 11      0 29772220   2888 180704    0    0 25100  1932 43977 97186 20  6 25 49  0
 1 12      0 29716604   2888 182804    0    0 25344  1959 45120 99190 21  5 25 49  0
 0 10      0 29665268   2888 184788    0    0 24236 26038 47089 104772 22  6 22 51  0
 2 10      0 29609264   2888 187464    0    0 25076  2022 45908 101643 21  6 26 47  0
 2 12      0 29554640   2888 189520    0    0 25364  1965 48657 106661 22  6 24 47  0
 0 11      0 29501072   2888 191632    0    0 24840  2030 47520 105456 22  6 24 49  0
 2 10      0 29446696   2888 193432    0    0 25104  1976 45093 99622 21  5 23 51  0
 3 12      0 29390956   2888 195476    0    0 25512  1987 44000 97446 21  5 27 47  0
 1 13      0 29338628   2888 198376    0    0 24872  2051 51135 114230 24  6 22 48  0
 4 10      0 29283260   2888 200200    0    0 24964  1998 45664 100139 21  6 23 49  0
 4  8      0 29228388   2888 202376    0    0 24888  2055 46966 104632 22  6 22 51  0
 3 10      0 29175936   2888 204120    0    0 25000  2051 45966 101913 22  6 25 46  0
 1 13      0 29119700   2888 206236    0    0 24932  2011 46703 103526 23  6 21 51  0
 3  4      0 29063572   2888 208440    0    0 25012  2107 46715 104202 22  7 23 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  8      0 29010996   2888 211204    0    0 25036  2069 46838 103432 23  5 23 49  0
 5  7      0 28955504   2888 213364    0    0 25400  2060 43238 96455 21  6 21 52  0
 4  9      0 28900880   2888 215612    0    0 24672  2094 48758 109722 23  6 23 48  0
 2 12      0 28845884   2888 217576    0    0 24516  2113 50099 112104 24  6 22 49  0
 6 10      0 28793308   2888 219760    0    0 24924  2123 48150 106714 23  6 23 48  0
 2 10      0 28738560   2888 222096    0    0 24716  2084 51339 113421 23  6 23 48  0
 3 10      0 28685548   2888 223968    0    0 23724  2353 41561 99951 25  6 19 50  0
10  1      0 28635080   2888 226884    0    0 24252  2257 43131 99361 23  7 21 50  0
 2  9      0 28580272   2888 229240    0    0 25432  2086 51301 114462 25  5 21 48  0
 8  8      0 28522780   2888 231368    0    0 24536  2214 54328 121902 26  6 19 49  0
