procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 214964   3320 29355912    0    0  3554  5849   62   49 11  5 51 33  0
 0  8      0 224828   3320 29175396    0    0 91021 75937 25038 44857 10  6 51 32  0
 0 14      0 216012   3320 29138068    0    0 43808 42296 12644 22870  5  2 49 44  0
 1  9      0 221888   3320 29087576    0    0 43568 38237 16375 29566  5  3 24 68  0
 0 14      0 255496   3320 29006128    0    0 42784 51656 18234 32631  6  4 20 70  0
 0 11      0 295116   3320 28918084    0    0 43840 33154 16959 30598  5  3 16 75  0
 0 12      0 312008   3320 28860784    0    0 44440 26097 15515 26935  5  3 19 74  0
 0 13      0 309964   3320 28817668    0    0 45664  5525 17139 30078  5  4 14 77  0
 3 13      0 308040   3320 28767952    0    0 45520  5886 18719 34459  6  4 14 76  0
 1 11      0 308096   3332 28725060    0    0 42880 13913 22174 42371  6  4 15 75  0
 1 13      0 308744   3332 28676072    0    0 43968  4920 19414 36336  5  3 10 82  0
 0 16      0 308004   3332 28626724    0    0 43904  4843 19254 35667  6  4 13 77  0
 0  8      0 313100   3332 28577824    0    0 43792  8592 20006 37127  4  4 15 76  0
 2 10      0 308976   3332 28535028    0    0 43888  8793 18964 35420  5  4 12 79  0
 0 14      0 309112   3332 28486120    0    0 43760  8499 20832 39508  5  5 12 79  0
 1 12      0 309100   3332 28437732    0    0 43728  9133 22539 43831  5  4 14 76  0
 1 12      0 306616   3332 28395676    0    0 43728  5255 27742 56129  9  5 16 70  0
 4  9      0 307612   3332 28347576    0    0 43600  8893 26837 54522  9  5 16 70  0
 0 13      0 302580   3332 28305624    0    0 43920  4934 24942 50577  8  6 19 67  0
 0 14      0 309084   3332 28251896    0    0 43280 17113 25567 51642 10  6 18 67  0
 5  7      0 313456   3332 28204900    0    0 43712  5298 25388 51845 11  5 22 62  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 11      0 308820   3332 28163376    0    0 43248 13396 33379 69455 11  8 20 61  0
 2 13      0 311156   3332 28116344    0    0 43696  9159 31675 65532 14  6 21 59  0
 1 10      0 307508   3332 28075652    0    0 43072  9724 28980 60336 12  6 22 61  0
 0 12      0 316016   3332 28016640    0    0 43904  5217 29352 60483 11  7 23 60  0
 1  9      0 310840   3332 27981916    0    0 43184 13413 36887 77907 14  8 19 60  0
 0 14      0 308344   3332 27935528    0    0 43776  5298 34059 71845 13  7 21 59  0
 1 13      0 302452   3332 27889780    0    0 43504  5276 38922 82827 14  7 19 59  0
 3  9      0 309224   3332 27842548    0    0 43408  9399 37164 79895 14  7 20 58  0
 1 10      0 312508   3332 27791348    0    0 43216  9593 40183 86540 14  9 20 57  0
 2 14      0 307328   3332 27750720    0    0 43456  5715 42909 92011 14  8 22 55  0
