procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 268420   2996 29303904    0    0  3043  3778   22   21 15  5 56 24  0
 2 12      0 309456   2996 29076144    0    0 107829 76217 37298 57607 13 10 40 37  0
 3 11      0 311500   2996 29025736    0    0 52240 50879 17682 30954  5  4 43 47  0
 2  9      0 312696   2996 28969504    0    0 52168 46839 15800 28665  6  5 24 65  0
 1  7      0 312112   2996 28913252    0    0 52544 46687 18373 33566  5  5 21 68  0
 1 15      0 311696   2996 28857332    0    0 52672 46643 18849 34808  5  5 27 63  0
 2 13      0 309628   2996 28801468    0    0 54832  5957 19506 35461  7  5 13 75  0
 1 10      0 313756   2996 28739372    0    0 54176 10296 23392 43641  7  5 13 75  0
 0 12      0 316396   2996 28678024    0    0 54352  6280 23231 44099  9  6 17 68  0
 0 13      0 313448   2996 28623256    0    0 54880  2240 23109 43532  8  7 13 73  0
 1  8      0 315284   3008 28562244    0    0 54080 10675 28302 55857 10  6 14 69  0
 1 13      0 314072   3008 28507028    0    0 52224  7120 24710 47516  7  6 12 75  0
 2 10      0 313896   3008 28452616    0    0 52304  6660 25375 48743  8  6 13 72  0
11  3      0 310676   3008 28397608    0    0 51856 11094 34130 69349 12  7 14 66  0
 1 12      0 309288   3008 28344956    0    0 52096 11224 27676 54530  9  7 17 67  0
 3  5      0 312004   3008 28285816    0    0 51648 11807 34238 69888 13  7 14 65  0
 1 13      0 312988   3008 28231184    0    0 51120 23201 36159 74319 14  9 16 62  0
 1 14      0 308048   3008 28183972    0    0 52304  6956 36061 74626 13  8 19 60  0
 5 11      0 313004   3008 28126076    0    0 51728 11567 38694 81238 13  8 21 57  0
 1 14      0 314480   3008 28067652    0    0 52432  7168 36422 76717 13  8 25 55  0
 2 11      0 312212   3008 28015416    0    0 51552 15919 37188 79676 13  8 25 53  0
